timestamp,temp_in,temp_out,rpi_state,bat,fw_version
1593996510,10.0,2.0,-1,-1,0
1593996692,22.19,18.0,-1,-1,4
1593996997,22.3,17.9,-1,-1,4
1593997300,22.37,18.0,-1,-1,4
1593997604,22.48,17.8,-1,-1,4
1593997908,22.42,17.9,-1,-1,4
1593998211,22.42,17.8,-1,-1,4
1593998515,22.51,17.7,-1,-1,4
1593998818,22.1,17.6,-1,-1,4
1593999123,21.95,17.6,-1,-1,4
1593999429,21.84,17.6,-1,-1,4
1593999731,21.76,17.6,-1,-1,4
1594000034,21.7,17.5,-1,-1,4
1594000338,21.6,17.4,-1,-1,4
1594000641,21.57,17.4,-1,-1,4
1594000944,21.5,17.4,-1,-1,4
1594001247,21.43,17.3,-1,-1,4
1594001551,21.4,17.3,-1,-1,4
1594001854,21.34,17.2,-1,-1,4
1594002157,21.33,17.1,-1,-1,4
1594002460,21.29,17.1,-1,-1,4
1594002764,21.23,17.1,-1,-1,4
1594003067,21.22,17.1,-1,-1,4
1594003370,21.27,17.1,-1,-1,4
1594003673,21.19,17.0,-1,-1,4
1594003976,21.23,16.9,-1,-1,4
1594004280,21.2,16.9,-1,-1,4
1594004585,21.09,16.8,-1,-1,4
1594004888,20.92,16.8,-1,-1,4
1594005191,20.83,16.9,-1,-1,4
1594005494,20.72,16.9,-1,-1,4
1594005797,20.69,16.7,-1,-1,4
1594006100,20.58,16.7,-1,-1,4
1594006406,20.39,16.6,-1,-1,4
1594006709,20.33,16.6,-1,-1,4
1594007012,20.33,16.5,-1,-1,4
1594007315,20.25,16.5,-1,-1,4
1594007618,20.23,16.5,-1,-1,4
1594007922,20.19,16.6,-1,-1,4
1594008225,20.19,16.6,-1,-1,4
1594008528,20.17,16.7,-1,-1,4
1594008831,20.2,16.8,-1,-1,4
1594009134,20.18,17.0,-1,-1,4
1594009437,20.24,17.0,-1,-1,4
1594009740,20.27,17.1,-1,-1,4
1594010043,20.35,17.4,-1,-1,4
1594010348,20.56,17.7,-1,-1,4
1594010653,20.67,17.9,-1,-1,4
1594010956,20.8,18.3,-1,-1,4
1594011260,20.84,18.0,-1,-1,4
1594011563,21.0,19.0,-1,-1,4
1594011866,21.03,19.4,-1,-1,4
1594012169,21.14,19.9,-1,-1,4
1594012473,21.3,20.3,-1,-1,4
1594012776,21.35,20.7,-1,-1,4
1594013079,21.49,21.0,-1,-1,4
1594013384,21.63,21.2,-1,-1,4
1594013687,21.82,21.3,-1,-1,4
1594013991,22.05,21.6,-1,-1,4
1594014294,22.12,21.6,-1,-1,4
1594014599,22.29,21.1,-1,-1,4
1594014902,22.35,20.8,-1,-1,4
1594015207,22.49,20.7,-1,-1,4
1594015510,22.62,21.1,-1,-1,4
1594015813,22.73,21.0,-1,-1,4
1594016117,22.78,21.0,-1,-1,4
1594016420,22.86,21.0,-1,-1,4
1594016723,22.9,21.4,-1,-1,4
1594017026,22.98,21.4,-1,-1,4
1594017329,23.01,21.6,-1,-1,4
1594017633,23.04,21.7,-1,-1,4
1594017936,23.1,21.6,-1,-1,4
1594018239,23.15,21.8,-1,-1,4
1594018542,23.26,21.9,-1,-1,4
1594018846,23.26,21.7,-1,-1,4
1594019149,23.15,22.0,-1,-1,4
1594019453,23.03,21.8,-1,-1,4
1594019756,22.93,21.6,-1,-1,4
1594020059,22.68,21.4,-1,-1,4
1594020362,22.18,21.4,-1,-1,4
1594020666,21.82,21.2,-1,-1,4
1594020969,21.15,21.5,-1,-1,4
1594021274,20.62,21.1,-1,-1,4
1594021577,20.09,20.8,-1,-1,4
1594021880,20.0,20.4,-1,-1,4
1594022183,19.62,20.5,-1,-1,4
1594022519,19.52,20.2,-1,-1,4
1594022823,19.34,20.0,-1,-1,4
1594023126,19.25,20.0,-1,-1,4
1594023429,19.19,20.0,-1,-1,4
1594023732,19.13,19.8,-1,-1,4
1594024035,19.22,19.8,-1,-1,4
1594024338,19.05,19.8,-1,-1,4
1594024641,19.07,19.6,-1,-1,4
1594025079,19.14,19.7,-1,-1,4
1594025382,19.13,19.8,-1,-1,4
1594025687,19.13,19.9,-1,-1,4
1594025990,19.17,19.9,-1,-1,4
1594026293,19.24,19.9,-1,-1,4
1594026596,19.12,19.9,-1,-1,4
1594026899,18.85,19.8,-1,-1,4
1594027207,18.73,19.4,-1,-1,4
1594027510,18.39,18.9,-1,-1,4
1594027813,18.37,18.6,-1,-1,4
1594028116,18.25,18.5,-1,-1,4
1594039052,19.39,23.1,-1,-1,4
1594039354,19.51,23.0,-1,-1,4
1594039658,19.56,22.9,-1,-1,4
1594039963,19.61,23.1,-1,-1,4
1594040266,19.81,23.2,-1,-1,4
1594040569,19.85,22.4,-1,-1,4
1594040872,20.08,23.0,-1,-1,4
1594041175,20.24,23.3,-1,-1,4
1594041479,20.68,24.2,-1,-1,4
1594041782,21.0,24.4,-1,-1,4
1594042086,21.2,25.0,-1,-1,4
1594042389,21.37,26.1,-1,-1,4
1594042693,21.63,26.2,-1,-1,4
1594042998,21.96,26.8,-1,-1,4
1594043301,22.15,27.1,-1,-1,4
1594043604,22.28,27.7,-1,-1,4
1594043907,22.4,27.5,-1,-1,4
1594044210,22.71,28.0,-1,-1,4
1594044513,22.84,27.5,-1,-1,4
1594044817,23.02,28.0,-1,-1,4
1594045120,23.28,27.9,-1,-1,4
1594045423,23.28,28.0,-1,-1,4
1594045726,23.45,27.9,-1,-1,4
1594046029,23.71,28.4,-1,-1,4
1594046332,23.71,28.4,-1,-1,4
1594046635,23.85,28.0,-1,-1,4
1594046938,23.89,28.3,-1,-1,4
1594047244,23.97,28.1,-1,-1,4
1594047547,24.13,28.2,-1,-1,4
1594047850,23.97,27.5,-1,-1,4
1594048153,23.97,27.1,-1,-1,4
1594048457,23.97,26.7,-1,-1,4
1594048760,23.92,25.6,-1,-1,4
1594049063,23.9,25.7,-1,-1,4
1594049366,24.04,25.8,-1,-1,4
1594049669,23.89,25.4,-1,-1,4
1594049972,23.83,25.6,-1,-1,4
1594050275,23.98,25.4,-1,-1,4
1594050579,23.7,25.2,-1,-1,4
1594050882,23.79,25.1,-1,-1,4
1594051185,23.45,24.7,-1,-1,4
1594051488,23.79,24.7,-1,-1,4
1594051791,23.63,24.6,-1,-1,4
1594052094,23.55,24.9,-1,-1,4
1594052398,23.08,24.7,-1,-1,4
1594052701,23.11,23.3,-1,-1,4
1594053005,22.94,24.7,-1,-1,4
1594053308,22.64,23.8,-1,-1,4
1594053611,22.66,22.9,-1,-1,4
1594053914,22.64,23.7,-1,-1,4
1594054217,22.41,23.6,-1,-1,4
1594054520,22.07,22.6,-1,-1,4
1594054824,22.05,22.3,-1,-1,4
1594055127,21.7,22.5,-1,-1,4
1594055430,21.55,22.0,-1,-1,4
1594055734,21.43,21.7,-1,-1,4
1594056037,21.04,21.9,-1,-1,4
1594056342,20.83,21.5,-1,-1,4
1594056645,20.67,21.5,-1,-1,4
1594056948,20.25,20.9,-1,-1,4
1594057251,20.17,20.4,-1,-1,4
1594057555,19.99,20.3,-1,-1,4
1594057858,19.7,20.2,-1,-1,4
1594058163,19.57,20.1,-1,-1,4
1594058466,19.32,20.0,-1,-1,4
1594058771,19.03,20.0,-1,-1,4
1594059074,19.04,19.8,-1,-1,4
1594059377,18.94,19.8,-1,-1,4
1594059680,18.95,19.7,-1,-1,4
1594059983,18.76,19.6,-1,-1,4
1594060286,18.64,19.3,-1,-1,4
1594060589,18.55,19.1,-1,-1,4
1594060893,18.39,19.0,-1,-1,4
1594061229,18.24,18.8,-1,-1,4
1594061533,18.05,18.5,-1,-1,4
1594061836,18.09,18.4,-1,-1,4
1594062140,17.78,18.4,-1,-1,4
1594062443,18.27,18.0,-1,-1,4
1594062748,19.11,17.9,-1,-1,4
1594063051,19.05,17.7,-1,-1,4
1594063356,19.13,17.6,-1,-1,4
1594063660,19.22,17.5,-1,-1,4
1594063964,18.95,17.4,-1,-1,4
1594064269,18.55,17.2,-1,-1,4
1594064571,18.57,17.0,-1,-1,4
1594064875,18.48,16.9,-1,-1,4
1594065178,18.34,16.8,-1,-1,4
1594065481,18.26,16.7,-1,-1,4
1594065783,18.01,16.5,-1,-1,4
1594066086,17.83,16.4,-1,-1,4
1594066390,17.7,16.3,-1,-1,4
1594066693,17.49,16.1,-1,-1,4
1594066996,17.62,16.0,-1,-1,4
1594067301,17.74,15.9,-1,-1,4
1594067604,17.83,15.8,-1,-1,4
1594067907,17.65,15.7,-1,-1,4
1594068210,17.76,15.6,-1,-1,4
1594068513,17.84,15.5,-1,-1,4
1594068819,17.75,15.4,-1,-1,4
1594069122,17.28,15.4,-1,-1,4
1594069425,16.85,15.3,-1,-1,4
1594069728,16.84,15.2,-1,-1,4
1594070031,16.78,15.1,-1,-1,4
1594070334,16.96,15.1,-1,-1,4
1594070637,16.64,15.0,-1,-1,4
1594070940,16.28,14.9,-1,-1,4
1594071244,16.19,14.9,-1,-1,4
1594071585,16.09,14.8,-1,-1,4
1594071888,16.05,14.7,-1,-1,4
1594072191,15.96,14.5,-1,-1,4
1594072494,15.83,14.2,-1,-1,4
1594072797,15.68,14.2,-1,-1,4
1594073100,15.52,14.1,-1,-1,4
1594073404,15.33,13.9,-1,-1,4
1594073707,15.18,13.6,-1,-1,4
1594074010,15.15,13.6,-1,-1,4
1594074313,15.22,13.4,-1,-1,4
1594074617,15.07,13.3,-1,-1,4
1594074920,14.99,13.1,-1,-1,4
1594075226,14.92,13.0,-1,-1,4
1594075529,14.99,12.9,-1,-1,4
1594075833,14.62,12.8,-1,-1,4
